Date,Campaign ID,Campaign Name,Requests,Delivered,Opens,Daily Open Rate,Cumulative Open Rate,Unique Opens,Daily Unique Open Rate,Cumulative Unique Open Rate,Clicks,Daily Click Rate,Cumulative Click Rate,Unique Clicks,Daily Unique Click Rate,Cumulative Unique Click Rate,CTR,TCTR,Bounces,Daily Bounce Rate,Cumulative Bounce Rate,Bounce Drops,Spam Reports,Daily Spam Reports Rate,Cumulative Spam Reports Rate,Spam Report Drops,Unsubscribes,Daily Unsubscribe Rate,Cumulative Unsubscribe Rate,Invalid Emails
2018-05-17,2995349,"Campaign_Nurture_20180517094700836",577,423,21,4.96%,4.96%,9,2.13%,2.13%,0,0.00%,0.00%,0,0.00%,0.00%,0.00%,0.00%,57,9.88%,9.88%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,8
2018-05-18,2995349,"Campaign_Nurture_20180517094700836",0,0,11,0.00%,7.57%,6,0.00%,3.55%,1,0.00%,0.24%,1,0.00%,0.24%,16.67%,9.09%,0,0.00%,9.88%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0
2018-05-19,2995349,"Campaign_Nurture_20180517094700836",0,0,2,0.00%,8.04%,2,0.00%,4.02%,0,0.00%,0.24%,0,0.00%,0.24%,0.00%,0.00%,0,0.00%,9.88%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0
2018-05-20,2995349,"Campaign_Nurture_20180517094700836",0,0,0,0.00%,8.04%,0,0.00%,4.02%,0,0.00%,0.24%,0,0.00%,0.24%,0.00%,0.00%,90,0.00%,25.48%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0
2018-05-21,2995349,"Campaign_Nurture_20180517094700836",0,0,1,0.00%,8.27%,1,0.00%,4.26%,0,0.00%,0.24%,0,0.00%,0.24%,0.00%,0.00%,0,0.00%,25.48%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0
2018-05-22,2995349,"Campaign_Nurture_20180517094700836",0,0,0,0.00%,8.27%,0,0.00%,4.26%,0,0.00%,0.24%,0,0.00%,0.24%,0.00%,0.00%,0,0.00%,25.48%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0
2018-05-23,2995349,"Campaign_Nurture_20180517094700836",0,0,0,0.00%,8.27%,0,0.00%,4.26%,0,0.00%,0.24%,0,0.00%,0.24%,0.00%,0.00%,0,0.00%,25.48%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,0
Campaign Total,2995349,"Campaign_Nurture_20180517094700836",577,423,35,4.96%,8.27%,18,2.13%,4.26%,1,0.00%,0.24%,1,0.00%,0.24%,16.67%,9.09%,147,9.88%,25.48%,0,0,0.00%,0.00%,0,0,0.00%,0.00%,8
